,label,width,heights
413,n04428191,285,464
414,n04428191,375,500
415,n04428191,540,720
416,n04428191,500,375
417,n04428191,300,450
418,n04428191,480,640
419,n04428191,375,500
420,n04428191,374,500
421,n04428191,151,500
422,n04428191,360,480
423,n04428191,300,450
424,n04428191,374,500
425,n04428191,301,400
426,n04428191,225,300
427,n04428191,321,450
428,n04428191,427,500
429,n04428191,375,500
430,n04428191,375,500
431,n04428191,233,396
432,n04428191,375,500
433,n04428191,219,283
434,n04428191,368,500
435,n04428191,500,491
436,n04428191,375,500
437,n04428191,366,500
438,n04428191,300,400
439,n04428191,240,320
440,n04428191,500,375
441,n04428191,430,600
442,n04428191,342,433
443,n04428191,364,450
444,n04428191,375,500
445,n04428191,580,392
446,n04428191,375,500
447,n04428191,768,1024
448,n04428191,467,700
449,n04428191,374,500
450,n01644900,352,500
451,n01644900,360,500
452,n01644900,333,500
453,n01644900,332,500
454,n01644900,333,500
455,n01644900,465,500
456,n01644900,334,500
457,n01644900,500,292
458,n01644900,371,500
459,n01644900,352,500
460,n01644900,375,500
461,n01644900,333,500
462,n01644900,400,500
463,n01644900,495,500
464,n01644900,333,500
465,n01644900,375,500
466,n01644900,725,1023
467,n01644900,375,500
468,n01644900,318,500
469,n01644900,500,375
470,n01644900,500,333
471,n01644900,333,500
472,n01644900,333,500
473,n01644900,500,500
474,n01644900,420,500
475,n01644900,1488,1984
476,n01644900,333,500
477,n01644900,500,375
478,n01644900,331,500
479,n01644900,334,500
480,n01644900,333,500
481,n01644900,333,500
482,n01644900,375,500
483,n01644900,332,500
484,n01644900,281,500
485,n01644900,309,500
486,n01644900,332,500
487,n01644900,353,500
488,n01644900,284,500
489,n01644900,500,399
490,n01644900,343,500
491,n01644900,333,500
492,n01644900,336,500
493,n01644900,342,500
494,n01644900,332,500
495,n01644900,333,500
496,n01644900,334,500
497,n01644900,333,500
498,n01644900,376,500
499,n01644900,333,500
500,n04483307,288,432
501,n04483307,375,500
502,n04483307,500,333
503,n04483307,533,800
504,n04483307,213,320
505,n04483307,301,450
506,n04483307,398,600
507,n04483307,225,300
508,n04483307,494,525
509,n04483307,412,602
510,n04483307,640,481
511,n04483307,319,600
512,n04483307,329,440
513,n04483307,360,480
514,n04483307,570,855
515,n04483307,419,695
516,n04483307,400,600
517,n04483307,768,911
518,n04483307,1417,2133
519,n04483307,320,320
520,n04483307,366,575
521,n04483307,400,300
522,n04483307,480,640
523,n04483307,450,600
524,n04483307,396,580
525,n04483307,649,500
526,n04483307,1207,1600
527,n04483307,1308,1544
528,n04483307,424,300
529,n04483307,400,300
530,n04483307,480,640
531,n04483307,333,500
532,n04483307,299,470
533,n04483307,440,660
534,n04483307,379,450
535,n04483307,450,600
536,n04483307,1200,1800
537,n04483307,263,350
538,n04483307,206,300
539,n04483307,440,660
540,n04483307,391,550
541,n04483307,768,1024
542,n04483307,210,313
543,n04483307,1593,1200
544,n04483307,321,500
545,n04483307,196,280
546,n04483307,873,636
547,n04483307,415,871
548,n04483307,800,639
549,n04483307,320,567
550,n01755581,375,500
551,n01755581,500,500
552,n01755581,375,500
553,n01755581,375,500
554,n01755581,375,500
555,n01755581,375,500
556,n01755581,375,500
557,n01755581,380,500
558,n01755581,375,500
559,n01755581,375,500
560,n01755581,375,500
561,n01755581,375,500
562,n01755581,375,500
563,n01755581,375,500
564,n01755581,375,500
565,n01755581,375,500
566,n01755581,382,500
567,n01755581,375,500
568,n01755581,375,500
569,n01755581,375,500
570,n01755581,375,500
571,n01755581,375,500
572,n01755581,375,500
573,n01755581,375,500
574,n01755581,375,500
575,n01755581,375,500
576,n01755581,375,500
577,n01755581,375,500
578,n01755581,400,500
579,n01755581,402,500
580,n01755581,379,500
581,n01755581,500,500
582,n01755581,375,500
583,n01755581,375,500
584,n01755581,500,375
585,n01755581,408,500
586,n01755581,387,500
587,n01755581,375,500
588,n01755581,375,500
589,n01755581,375,500
590,n01755581,375,500
591,n01755581,375,500
592,n01755581,500,375
593,n01755581,375,500
594,n01755581,375,500
595,n01755581,375,500
596,n01755581,375,500
597,n01755581,375,500
598,n01755581,375,500
599,n01755581,375,500
600,n03781244,500,500
601,n03781244,500,375
602,n03781244,500,491
603,n03781244,395,500
604,n03781244,460,500
605,n03781244,500,375
606,n03781244,375,500
607,n03781244,500,375
608,n03781244,375,500
609,n03781244,375,500
610,n03781244,497,500
611,n03781244,500,375
612,n03781244,500,375
613,n03781244,378,500
614,n03781244,500,395
615,n03781244,375,500
616,n03781244,500,375
617,n03781244,500,375
618,n03781244,375,500
619,n03781244,375,500
620,n03781244,406,500
621,n03781244,375,500
622,n03781244,378,500
623,n03781244,500,431
624,n03781244,375,500
625,n03781244,500,375
626,n03781244,500,376
627,n03781244,500,500
628,n03781244,500,375
629,n03781244,375,500
630,n03781244,375,500
631,n03781244,385,500
632,n03781244,378,500
633,n03781244,500,380
634,n03781244,500,377
635,n03781244,500,500
636,n03781244,500,375
637,n03781244,500,500
638,n03781244,375,500
639,n03781244,500,376
640,n03781244,375,500
641,n03781244,375,500
642,n03781244,500,375
643,n03781244,401,500
644,n03781244,500,376
645,n03781244,381,500
646,n03781244,498,500
647,n03781244,375,500
648,n03781244,500,375
649,n03781244,500,375
650,n04141327,334,591
651,n04141327,248,700
652,n04141327,600,800
653,n04141327,470,470
654,n04141327,364,635
655,n04141327,806,1075
656,n04141327,1210,474
657,n04141327,480,640
658,n04141327,341,592
659,n04141327,476,713
660,n04141327,500,375
661,n04141327,281,620
662,n04141327,417,1890
663,n04141327,450,600
664,n04141327,334,792
665,n04141327,480,640
666,n04141327,375,500
667,n04141327,685,1591
668,n04141327,375,500
669,n04141327,406,900
670,n04141327,491,1023
671,n04141327,480,640
672,n04141327,418,432
673,n04141327,470,660
674,n04141327,806,1075
675,n04141327,259,742
676,n04141327,501,756
677,n04141327,480,640
678,n04141327,336,448
679,n04141327,500,421
680,n04141327,480,640
681,n04141327,375,500
682,n04141327,768,1024
683,n04141327,806,1075
684,n04141327,301,792
685,n04141327,347,526
686,n04141327,376,640
687,n04141327,555,740
688,n04141327,480,640
689,n04141327,432,504
690,n04141327,500,333
691,n04141327,806,1075
692,n04141327,394,900
693,n04141327,552,550
694,n04141327,439,500
695,n04141327,806,1075
696,n04141327,440,1162
697,n04141327,768,1024
698,n04141327,375,500
699,n04141327,300,670
700,n02978881,375,500
701,n02978881,375,500
702,n02978881,400,500
703,n02978881,375,500
704,n02978881,500,500
705,n02978881,375,500
706,n02978881,500,500
707,n02978881,500,375
708,n02978881,375,500
709,n02978881,337,500
710,n02978881,379,500
711,n02978881,374,500
712,n02978881,375,500
713,n02978881,375,500
714,n02978881,335,500
715,n02978881,500,500
716,n02978881,375,500
717,n02978881,375,500
718,n02978881,500,500
719,n02978881,500,500
720,n02978881,375,500
721,n02978881,375,500
722,n02978881,500,414
723,n02978881,375,500
724,n02978881,375,500
725,n02978881,349,500
726,n02978881,375,500
727,n02978881,375,500
728,n02978881,334,500
729,n02978881,375,500
730,n02978881,500,388
731,n02978881,375,500
732,n02978881,500,490
733,n02978881,500,374
734,n02978881,500,375
735,n02978881,500,492
736,n02978881,375,500
737,n02978881,375,500
738,n02978881,375,500
739,n02978881,500,375
740,n02978881,365,500
741,n02978881,375,500
742,n02978881,396,500
743,n02978881,375,500
744,n02978881,484,500
745,n02978881,375,500
746,n02978881,500,500
747,n02978881,375,500
748,n02978881,375,500
749,n02978881,500,375
750,n02965783,375,500
751,n02965783,384,500
752,n02965783,375,500
753,n02965783,375,500
754,n02965783,375,500
755,n02965783,375,500
756,n02965783,375,500
757,n02965783,375,500
758,n02965783,375,500
759,n02965783,335,500
760,n02965783,375,500
761,n02965783,375,500
762,n02965783,335,500
763,n02965783,375,500
764,n02965783,375,500
765,n02965783,375,500
766,n02965783,374,500
767,n02965783,375,500
768,n02965783,500,336
769,n02965783,375,500
770,n02965783,375,500
771,n02965783,375,500
772,n02965783,375,500
773,n02965783,375,500
774,n02965783,360,480
775,n02965783,375,500
776,n02965783,375,500
777,n02965783,375,500
778,n02965783,375,500
779,n02965783,500,500
780,n02965783,375,500
781,n02965783,500,375
782,n02965783,400,500
783,n02965783,375,500
784,n02965783,335,500
785,n02965783,383,500
786,n02965783,375,500
787,n02965783,335,500
788,n02965783,375,500
789,n02965783,375,500
790,n02965783,375,500
791,n02965783,375,500
792,n02965783,375,500
793,n02965783,500,408
794,n02965783,375,500
795,n02965783,500,378
796,n02965783,375,500
797,n02965783,375,500
798,n02965783,348,500
799,n02965783,500,374
800,n02797295,375,500
801,n02797295,375,500
802,n02797295,334,500
803,n02797295,500,490
804,n02797295,500,358
805,n02797295,500,406
806,n02797295,438,500
807,n02797295,500,375
808,n02797295,500,370
809,n02797295,375,500
810,n02797295,491,500
811,n02797295,500,399
812,n02797295,336,500
813,n02797295,375,500
814,n02797295,455,500
815,n02797295,500,375
816,n02797295,500,375
817,n02797295,500,341
818,n02797295,500,500
819,n02797295,375,500
820,n02797295,375,500
821,n02797295,500,333
822,n02797295,500,333
823,n02797295,375,500
824,n02797295,375,500
825,n02797295,500,375
826,n02797295,500,500
827,n02797295,500,362
828,n02797295,403,500
829,n02797295,500,375
830,n02797295,351,500
831,n02797295,500,333
832,n02797295,375,500
833,n02797295,375,500
834,n02797295,375,500
835,n02797295,500,375
836,n02797295,375,500
837,n02797295,375,500
838,n02797295,466,500
839,n02797295,500,333
840,n02797295,375,500
841,n02797295,374,500
842,n02797295,375,500
843,n02797295,333,500
844,n02797295,500,333
845,n02797295,375,500
846,n02797295,375,500
847,n02797295,333,500
848,n02797295,434,500
849,n02797295,500,484
850,n04554684,375,500
851,n04554684,375,500
852,n04554684,500,375
853,n04554684,375,500
854,n04554684,375,500
855,n04554684,500,375
856,n04554684,500,375
857,n04554684,500,375
858,n04554684,375,500
859,n04554684,500,375
860,n04554684,375,500
861,n04554684,375,500
862,n04554684,375,500
863,n04554684,419,500
864,n04554684,375,500
865,n04554684,500,375
866,n04554684,375,500
867,n04554684,500,375
868,n04554684,500,375
869,n04554684,375,500
870,n04554684,500,375
871,n04554684,469,500
872,n04554684,500,375
873,n04554684,375,500
874,n04554684,500,375
875,n04554684,500,375
876,n04554684,375,500
877,n04554684,375,500
878,n04554684,375,500
879,n04554684,500,375
880,n04554684,375,500
881,n04554684,375,500
882,n04554684,500,375
883,n04554684,500,375
884,n04554684,500,375
885,n04554684,375,500
886,n04554684,379,500
887,n04554684,375,500
888,n04554684,375,500
889,n04554684,375,500
890,n04554684,500,375
891,n04554684,500,375
892,n04554684,459,500
893,n04554684,500,408
894,n04554684,375,500
895,n04554684,500,375
896,n04554684,500,375
897,n04554684,375,500
898,n04554684,375,500
899,n04554684,375,500
900,n03000134,375,500
901,n03000134,374,500
902,n03000134,375,500
903,n03000134,375,500
904,n03000134,375,500
905,n03000134,500,375
906,n03000134,375,500
907,n03000134,375,500
908,n03000134,396,500
909,n03000134,500,375
910,n03000134,500,416
911,n03000134,375,500
912,n03000134,457,500
913,n03000134,375,500
914,n03000134,500,375
915,n03000134,500,500
916,n03000134,500,375
917,n03000134,500,500
918,n03000134,375,500
919,n03000134,500,461
920,n03000134,500,375
921,n03000134,500,375
922,n03000134,375,500
923,n03000134,375,500
924,n03000134,500,467
925,n03000134,500,500
926,n03000134,500,375
927,n03000134,375,500
928,n03000134,500,375
929,n03000134,500,493
930,n03000134,375,500
931,n03000134,450,500
932,n03000134,385,500
933,n03000134,375,500
934,n03000134,498,500
935,n03000134,375,500
936,n03000134,375,500
937,n03000134,375,500
938,n03000134,375,500
939,n03000134,431,500
940,n03000134,375,500
941,n03000134,375,500
942,n03000134,375,500
943,n03000134,381,500
944,n03000134,375,500
945,n03000134,500,375
946,n03000134,426,500
947,n03000134,375,500
948,n03000134,375,500
949,n03000134,457,500
950,n02007558,439,500
951,n02007558,400,500
952,n02007558,400,500
953,n02007558,500,500
954,n02007558,500,474
955,n02007558,449,500
956,n02007558,500,477
957,n02007558,500,388
958,n02007558,500,390
959,n02007558,455,500
960,n02007558,500,457
961,n02007558,500,399
962,n02007558,403,500
963,n02007558,500,449
964,n02007558,500,500
965,n02007558,500,500
966,n02007558,500,432
967,n02007558,500,386
968,n02007558,500,412
969,n02007558,377,500
970,n02007558,500,435
971,n02007558,500,396
972,n02007558,500,442
973,n02007558,500,393
974,n02007558,446,500
975,n02007558,500,437
976,n02007558,406,500
977,n02007558,412,500
978,n02007558,435,500
979,n02007558,500,408
980,n02007558,400,500
981,n02007558,500,399
982,n02007558,487,500
983,n02007558,377,500
984,n02007558,500,500
985,n02007558,500,412
986,n02007558,500,396
987,n02007558,400,500
988,n02007558,482,500
989,n02007558,500,497
990,n02007558,460,500
991,n02007558,426,500
992,n02007558,500,437
993,n02007558,472,500
994,n02007558,380,500
995,n02007558,400,500
996,n02007558,400,500
997,n02007558,479,500
998,n02007558,457,500
999,n02007558,500,500
1000,n03045698,500,375
1001,n03045698,500,375
1002,n03045698,500,375
1003,n03045698,500,335
1004,n03045698,407,500
1005,n03045698,334,500
1006,n03045698,500,412
1007,n03045698,500,478
1008,n03045698,500,373
1009,n03045698,500,375
1010,n03045698,375,500
1011,n03045698,500,360
1012,n03045698,500,500
1013,n03045698,500,380
1014,n03045698,375,500
1015,n03045698,500,375
1016,n03045698,375,500
1017,n03045698,500,375
1018,n03045698,500,340
1019,n03045698,500,420
1020,n03045698,500,500
1021,n03045698,500,388
1022,n03045698,500,375
1023,n03045698,383,500
1024,n03045698,500,500
1025,n03045698,500,374
1026,n03045698,375,500
1027,n03045698,500,421
1028,n03045698,500,375
1029,n03045698,500,375
1030,n03045698,500,375
1031,n03045698,375,500
1032,n03045698,500,334
1033,n03045698,375,500
1034,n03045698,500,375
1035,n03045698,496,500
1036,n03045698,500,348
1037,n03045698,500,424
1038,n03045698,440,500
1039,n03045698,500,391
1040,n03045698,500,335
1041,n03045698,375,500
1042,n03045698,375,500
1043,n03045698,375,500
1044,n03045698,500,375
1045,n03045698,375,500
1046,n03045698,369,500
1047,n03045698,375,500
1048,n03045698,500,375
1049,n03045698,500,423
1050,n03476684,375,500
1051,n03476684,375,500
1052,n03476684,470,500
1053,n03476684,375,500
1054,n03476684,375,500
1055,n03476684,375,500
1056,n03476684,436,500
1057,n03476684,436,500
1058,n03476684,485,500
1059,n03476684,454,500
1060,n03476684,375,500
1061,n03476684,375,500
1062,n03476684,375,500
1063,n03476684,491,500
1064,n03476684,500,375
1065,n03476684,458,500
1066,n03476684,375,500
1067,n03476684,375,500
1068,n03476684,375,500
1069,n03476684,500,500
1070,n03476684,500,500
1071,n03476684,381,500
1072,n03476684,376,500
1073,n03476684,375,500
1074,n03476684,375,500
1075,n03476684,500,500
1076,n03476684,500,375
1077,n03476684,500,500
1078,n03476684,399,500
1079,n03476684,375,500
1080,n03476684,429,500
1081,n03476684,500,375
1082,n03476684,500,500
1083,n03476684,375,500
1084,n03476684,500,500
1085,n03476684,424,500
1086,n03476684,500,500
1087,n03476684,375,500
1088,n03476684,375,500
1089,n03476684,375,500
1090,n03476684,500,500
1091,n03476684,453,500
1092,n03476684,489,500
1093,n03476684,423,500
1094,n03476684,375,500
1095,n03476684,375,500
1096,n03476684,500,500
1097,n03476684,420,500
1098,n03476684,500,399
1099,n03476684,500,478
1100,n02398521,375,500
1101,n02398521,333,500
1102,n02398521,500,353
1103,n02398521,333,500
1104,n02398521,333,500
1105,n02398521,375,500
1106,n02398521,375,500
1107,n02398521,333,500
1108,n02398521,375,500
1109,n02398521,375,500
1110,n02398521,375,500
1111,n02398521,333,500
1112,n02398521,496,500
1113,n02398521,358,500
1114,n02398521,375,500
1115,n02398521,375,500
1116,n02398521,375,500
1117,n02398521,375,500
1118,n02398521,375,500
1119,n02398521,500,375
1120,n02398521,375,500
1121,n02398521,380,500
1122,n02398521,375,500
1123,n02398521,375,500
1124,n02398521,375,500
1125,n02398521,375,500
1126,n02398521,375,500
1127,n02398521,499,500
1128,n02398521,375,500
1129,n02398521,375,500
1130,n02398521,375,500
1131,n02398521,333,500
1132,n02398521,334,500
1133,n02398521,494,500
1134,n02398521,500,396
1135,n02398521,375,500
1136,n02398521,375,500
1137,n02398521,500,375
1138,n02398521,334,500
1139,n02398521,378,500
1140,n02398521,333,500
1141,n02398521,500,376
1142,n02398521,375,500
1143,n02398521,375,500
1144,n02398521,375,500
1145,n02398521,500,375
1146,n02398521,333,500
1147,n02398521,375,500
1148,n02398521,375,500
1149,n02398521,333,500
1150,n03977966,375,500
1151,n03977966,375,500
1152,n03977966,400,500
1153,n03977966,375,500
1154,n03977966,380,500
1155,n03977966,500,375
1156,n03977966,375,500
1157,n03977966,375,500
1158,n03977966,375,500
1159,n03977966,375,500
1160,n03977966,375,500
1161,n03977966,376,500
1162,n03977966,376,500
1163,n03977966,375,500
1164,n03977966,376,500
1165,n03977966,375,500
1166,n03977966,416,500
1167,n03977966,375,500
1168,n03977966,375,500
1169,n03977966,500,488
1170,n03977966,397,500
1171,n03977966,375,500
1172,n03977966,375,500
1173,n03977966,375,500
1174,n03977966,376,500
1175,n03977966,375,500
1176,n03977966,375,500
1177,n03977966,375,500
1178,n03977966,375,500
1179,n03977966,375,500
1180,n03977966,375,500
1181,n03977966,441,500
1182,n03977966,375,500
1183,n03977966,375,500
1184,n03977966,375,500
1185,n03977966,487,500
1186,n03977966,400,500
1187,n03977966,375,500
1188,n03977966,375,500
1189,n03977966,375,500
1190,n03977966,444,500
1191,n03977966,375,500
1192,n03977966,476,423
1193,n03977966,375,500
1194,n03977966,375,500
1195,n03977966,375,500
1196,n03977966,375,500
1197,n03977966,375,500
1198,n03977966,376,500
1199,n03977966,375,500
1200,n04525038,500,431
1201,n04525038,375,500
1202,n04525038,375,500
1203,n04525038,500,375
1204,n04525038,500,375
1205,n04525038,500,500
1206,n04525038,500,375
1207,n04525038,500,500
1208,n04525038,500,375
1209,n04525038,500,375
1210,n04525038,500,500
1211,n04525038,500,480
1212,n04525038,375,500
1213,n04525038,375,500
1214,n04525038,433,500
1215,n04525038,375,500
1216,n04525038,375,500
1217,n04525038,375,500
1218,n04525038,500,375
1219,n04525038,500,375
1220,n04525038,457,500
1221,n04525038,438,500
1222,n04525038,500,473
1223,n04525038,375,500
1224,n04525038,500,375
1225,n04525038,500,499
1226,n04525038,450,479
1227,n04525038,451,475
1228,n04525038,405,500
1229,n04525038,500,375
1230,n04525038,375,500
1231,n04525038,490,490
1232,n04525038,375,500
1233,n04525038,499,500
1234,n04525038,500,500
1235,n04525038,375,500
1236,n04525038,500,375
1237,n04525038,500,375
1238,n04525038,396,500
1239,n04525038,500,375
1240,n04525038,470,500
